Country/Region,Mes,Año,Confirmed,Deaths,Recovered
Mexico,enero,2020,0,0,0
Mexico,febrero,2020,1,0,0
Mexico,febrero,2020,4,0,0
Mexico,marzo,2020,5,0,0
Mexico,marzo,2020,5,0,0
Mexico,marzo,2020,5,0,1
Mexico,marzo,2020,5,0,1
Mexico,marzo,2020,5,0,1
Mexico,marzo,2020,6,0,1
Mexico,marzo,2020,6,0,1
Mexico,marzo,2020,7,0,1
Mexico,marzo,2020,7,0,1
Mexico,marzo,2020,7,0,4
Mexico,marzo,2020,8,0,4
Mexico,marzo,2020,12,0,4
Mexico,marzo,2020,12,0,4
Mexico,marzo,2020,26,0,4
Mexico,marzo,2020,41,0,4
Mexico,marzo,2020,53,0,4
Mexico,marzo,2020,82,0,4
Mexico,marzo,2020,93,0,4
Mexico,marzo,2020,118,1,4
Mexico,marzo,2020,164,1,4
Mexico,marzo,2020,203,2,4
Mexico,marzo,2020,251,2,4
Mexico,marzo,2020,316,3,4
Mexico,marzo,2020,367,4,4
Mexico,marzo,2020,405,5,4
Mexico,marzo,2020,475,6,4
Mexico,marzo,2020,585,8,4
Mexico,marzo,2020,717,12,4
Mexico,marzo,2020,848,16,4
Mexico,marzo,2020,993,20,35
Mexico,marzo,2020,1094,28,35
Mexico,abril,2020,1215,29,35
Mexico,abril,2020,1378,37,35
Mexico,abril,2020,1510,50,633
Mexico,abril,2020,1688,60,633
Mexico,abril,2020,1890,79,633
Mexico,abril,2020,2143,94,633
Mexico,abril,2020,2439,125,633
Mexico,abril,2020,2785,141,633
Mexico,abril,2020,3181,174,633
Mexico,abril,2020,3441,194,633
Mexico,abril,2020,3844,233,633
Mexico,abril,2020,4219,273,1772
Mexico,abril,2020,4661,296,1843
Mexico,abril,2020,5014,332,1964
Mexico,abril,2020,5399,406,2125
Mexico,abril,2020,5847,449,2125
Mexico,abril,2020,6297,486,2125
Mexico,abril,2020,6875,546,2125
Mexico,abril,2020,7497,650,2627
Mexico,abril,2020,8261,686,2627
Mexico,abril,2020,8772,712,2627
Mexico,abril,2020,9501,857,2627
Mexico,abril,2020,11633,1069,2627
Mexico,abril,2020,12872,1221,7149
Mexico,abril,2020,13842,1305,7149
Mexico,abril,2020,14677,1351,8354
Mexico,abril,2020,15529,1434,9086
Mexico,abril,2020,16752,1569,11423
Mexico,abril,2020,17799,1732,11423
Mexico,abril,2020,19224,1859,11423
Mexico,mayo,2020,20739,1972,12377
Mexico,mayo,2020,22088,2061,12377
Mexico,mayo,2020,23471,2154,13447
Mexico,mayo,2020,24905,2271,13447
Mexico,mayo,2020,26025,2507,16810
Mexico,mayo,2020,27634,2704,17781
Mexico,mayo,2020,29616,2961,17781
Mexico,mayo,2020,31522,3160,20314
Mexico,mayo,2020,33460,3353,21824
Mexico,mayo,2020,35022,3465,21824
Mexico,mayo,2020,36327,3573,23100
Mexico,mayo,2020,38324,3926,25935
Mexico,mayo,2020,40186,4220,26990
Mexico,mayo,2020,42595,4477,28475
Mexico,mayo,2020,45032,4767,30451
Mexico,mayo,2020,47144,5045,31848
Mexico,mayo,2020,49219,5177,33329
Mexico,mayo,2020,51633,5332,35388
Mexico,mayo,2020,54346,5666,37325
Mexico,mayo,2020,558,21,384
Mexico,mayo,2020,3603,606,2536
Mexico,mayo,2020,476,28,397
Mexico,mayo,2020,328,48,205
Mexico,mayo,2020,808,53,420
Mexico,mayo,2020,1014,208,693
Mexico,mayo,2020,15844,1618,11208
Mexico,mayo,2020,749,59,564
Mexico,mayo,2020,83,10,39
Mexico,mayo,2020,189,20,116
Mexico,mayo,2020,821,80,481
Mexico,mayo,2020,927,136,572
Mexico,mayo,2020,1034,180,493
Mexico,mayo,2020,967,95,593
Mexico,mayo,2020,9346,563,7365
Mexico,mayo,2020,1094,97,665
Mexico,mayo,2020,1115,205,675
Mexico,mayo,2020,349,37,207
Mexico,mayo,2020,1016,56,617
Mexico,mayo,2020,743,84,331
Mexico,mayo,2020,1702,231,1038
Mexico,mayo,2020,544,58,213
Mexico,mayo,2020,1392,271,923
Mexico,mayo,2020,524,24,310
Mexico,mayo,2020,2161,326,1476
Mexico,mayo,2020,1020,49,712
Mexico,mayo,2020,2716,346,1695
Mexico,mayo,2020,1077,74,765
Mexico,mayo,2020,650,109,335
Mexico,mayo,2020,2288,274,1460
Mexico,mayo,2020,1244,97,797
Mexico,mayo,2020,212,27,134
Mexico,mayo,2020,586,21,402
Mexico,mayo,2020,3780,637,2603
Mexico,mayo,2020,502,29,406
Mexico,mayo,2020,354,50,210
Mexico,mayo,2020,895,64,441
Mexico,mayo,2020,1093,224,746
Mexico,mayo,2020,16758,1754,11665
Mexico,mayo,2020,772,62,578
Mexico,mayo,2020,91,12,40
Mexico,mayo,2020,194,23,125
Mexico,mayo,2020,897,84,517
Mexico,mayo,2020,984,147,599
Mexico,mayo,2020,1097,193,510
Mexico,mayo,2020,1028,96,620
Mexico,mayo,2020,9661,622,7663
Mexico,mayo,2020,1163,107,703
Mexico,mayo,2020,1164,210,704
Mexico,mayo,2020,362,38,212
Mexico,mayo,2020,1036,58,645
Mexico,mayo,2020,808,89,360
Mexico,mayo,2020,1803,244,1096
Mexico,mayo,2020,592,61,247
Mexico,mayo,2020,1450,280,949
Mexico,mayo,2020,558,25,339
Mexico,mayo,2020,2243,354,1525
Mexico,mayo,2020,1124,53,774
Mexico,mayo,2020,2824,361,1796
Mexico,mayo,2020,1105,76,791
Mexico,mayo,2020,677,117,363
Mexico,mayo,2020,2430,292,1548
Mexico,mayo,2020,1323,100,835
Mexico,mayo,2020,213,27,140
Mexico,mayo,2020,609,25,405
Mexico,mayo,2020,3944,648,2741
Mexico,mayo,2020,504,31,412
Mexico,mayo,2020,378,50,228
Mexico,mayo,2020,971,67,485
Mexico,mayo,2020,1121,245,760
Mexico,mayo,2020,17690,1854,12341
Mexico,mayo,2020,813,64,598
Mexico,mayo,2020,97,14,44
Mexico,mayo,2020,211,26,132
Mexico,mayo,2020,948,85,556
Mexico,mayo,2020,1020,154,638
Mexico,mayo,2020,1136,201,550
Mexico,mayo,2020,1095,102,637
Mexico,mayo,2020,10160,809,7914
Mexico,mayo,2020,1249,110,763
Mexico,mayo,2020,1134,228,686
Mexico,mayo,2020,381,40,223
Mexico,mayo,2020,1089,62,688
Mexico,mayo,2020,902,93,404
Mexico,mayo,2020,1859,244,1141
Mexico,mayo,2020,633,69,273
Mexico,mayo,2020,1530,283,1027
Mexico,mayo,2020,595,26,371
Mexico,mayo,2020,2328,366,1584
Mexico,mayo,2020,1194,56,825
Mexico,mayo,2020,2930,371,1909
