date,daily_new_cases,daily_new_cases
01-ene-21,0,12159
02-ene-21,0,11091
03-ene-21,0,6359
04-ene-21,0,5211
05-ene-21,0,6464
06-ene-21,0,11271
07-ene-21,0,13345
08-ene-21,0,13734
09-ene-21,0,14362
10-ene-21,0,16105
11-ene-21,0,10003
12-ene-21,0,7594
13-ene-21,0,14395
14-ene-21,0,15873
15-ene-21,0,16468
16-ene-21,0,21366
17-ene-21,0,20523
18-ene-21,0,11170
19-ene-21,0,8074
20-ene-21,0,18894
21-ene-21,0,20548
22-ene-21,0,22339
23-ene-21,0,21007
24-ene-21,0,20057
25-ene-21,0,10872
26-ene-21,0,8521
27-ene-21,0,17165
28-ene-21,0,17944
29-ene-21,0,18670
30-ene-21,0,16374
31-ene-21,0,15337
01-feb-21,0,7030
02-feb-21,0,5448
03-feb-21,0,4384
04-feb-21,0,12153
05-feb-21,0,13575
06-feb-21,0,13051
07-feb-21,0,13209
08-feb-21,0,6065
09-feb-21,0,3868
10-feb-21,0,10738
11-feb-21,0,11138
12-feb-21,0,10677
13-feb-21,0,10388
14-feb-21,0,9741
15-feb-20,0,4099
16-feb-20,0,3098
17-feb-20,0,8683
18-feb-20,0,8988
19-feb-20,0,9099
20-feb-20,0,7829
21-feb-20,0,7785
22-feb-20,0,3104
23-feb-20,0,2252
24-feb-20,0,8634
25-feb-20,0,8642
26-feb-20,0,8462
27-feb-20,0,7512
28-feb-20,0,7246
29-feb-20,2,0
01-mar-20,1,2810
02-mar-20,1,2343
03-mar-20,0,7913
04-mar-20,0,7793
05-mar-20,0,7521
06-mar-20,0,6797
07-mar-20,0,6561
08-mar-20,1,2734
09-mar-20,0,1877
10-mar-20,0,7407
11-mar-20,4,6674
12-mar-20,1,6470
13-mar-20,3,6743
14-mar-20,11,6104
15-mar-20,18,2415
16-mar-20,10,1439
17-mar-20,30,1278
18-mar-20,11,6455
19-mar-20,26,6726
20-mar-20,47,5722
21-mar-20,40,5729
22-mar-20,50,2133
23-mar-20,67,1388
24-mar-20,53,5881
25-mar-20,39,5714
26-mar-20,72,5787
27-mar-20,114,5303
28-mar-20,136,4922
29-mar-20,135,1783
30-mar-20,150,1292
31-mar-20,104,5068
01-abr-20,125,5977
02-abr-20,168,5381
03-abr-20,136,3089
04-abr-20,184,1838
05-abr-20,209,1263
06-abr-20,261,1247
07-abr-20,306,4675
08-abr-20,357,5499
09-abr-20,409,5140
10-abr-20,268,5045
11-abr-20,416,6356
12-abr-20,387,1793
13-abr-20,456,1627
14-abr-20,364,4293
15-abr-20,397,5113
16-abr-20,463,4189
17-abr-20,465,4504
18-abr-20,597,4157
19-abr-20,642,1506
20-abr-20,789,1308
21-abr-20,528,4262
22-abr-20,753,4639
23-abr-20,1077,3708
24-abr-20,1124,3911
25-abr-20,1279,3308
26-abr-20,1001,1653
27-abr-20,862,1143
28-abr-20,880,3592
29-abr-20,1263,3818
30-abr-20,1081,3990
01-may-20,1471,3821
02-may-20,1564,3025
03-may-20,1393,1093
04-may-20,1428,1027
05-may-20,1480,3064
06-may-20,1156,3021
07-may-20,1661,2846
08-may-20,2046,3043
09-may-20,1968,2743
10-may-20,2001,1175
11-may-20,1613,704
12-may-20,1347,1897
13-may-20,2062,3090
14-may-20,1922,3632
15-may-20,2487,2880
16-may-20,2516,2695
17-may-20,2180,1233
18-may-20,2142,822
19-may-20,2492,2767
20-may-20,2801,2000
21-may-20,2321,2628
22-may-20,3069,2604
23-may-20,3056,2586
24-may-20,3437,1274
25-may-20,2854,703
26-may-20,2566,2483
27-may-20,3567,2932
28-may-20,3575,3000
29-may-20,3487,3056
30-may-20,3332,2725
31-may-20,2979,1307
01-jun-20,3254,932
02-jun-20,2861,6917
03-jun-20,4017,3269
04-jun-20,4039,2894
05-jun-20,4586,2809
06-jun-20,4487,2649
07-jun-20,3710,1401
08-jun-20,3597,881
09-jun-20,3096,3449
10-jun-20,4335,3855
11-jun-20,5041,3672
12-jun-20,4945,3282
13-jun-20,5391,3649
14-jun-20,3607,1707
15-jun-20,4281,1175
16-jun-20,3538,4250
