pais,dato
Israel,17681.69
Gibraltar,13812.2
United Arab Emirates,13807.53
Wales,10767.93
Malta,10264.91
Scotland,9956.34
England,9849.78
United Kingdom,9788.82
Chile,9351.17
Northern Ireland,9156.74
Bahrain,9043.54
United States,8686.81
Maldives,7979.51
Isle of Man,6802.9
Qatar,6754.99
Uruguay,6486.36
Aruba,6368.1
Curacao,6313.29
North America,5908.86
High income,5582.73
Lithuania,5281.81
Canada,5207.91
Belgium,5107.59
Austria,5105.88
Mongolia,5093.25
Germany,5089.91
Italy,4991.23
Portugal,4903.29
European Union,4874.5
San Marino,4849.73
Estonia,4833.09
Hungary,4778.17
Seychelles,4756.35
France,4674.52
Switzerland,4664.41
Slovenia,4647.27
Norway,4572.71
Liechtenstein,4506.41
Czechia,4407.22
Europe,4341.13
Cayman Islands,4328.67
Greece,4300.6
Slovakia,4272.14
Barbados,4025.97
Poland,4017.23
Finland,3716.42
Turkey,3686.71
Spain,3657.33
Bhutan,3633.04
Serbia,3597.1
Romania,3530.21
China,3476.13
Saudi Arabia,3313.34
Guernsey,3276.38
Latvia,3270.98
Iceland,3124.42
Faeroe Islands,2951.14
Luxembourg,2930.9
Dominican Republic,2817.96
Croatia,2809.73
Upper middle income,2804.21
Morocco,2788.42
Denmark,2703.99
Hong Kong,2562.61
Argentina,2442.83
South America,2420.32
Cyprus,2406.61
Macao,2392.1
Brazil,2229.62
World,2186.11
Jersey,2068.63
Greenland,2060.07
Montenegro,2018.94
Cambodia,1982.42
Asia,1922.92
Ireland,1873.28
Bermuda,1868.27
Mexico,1816.2
Azerbaijan,1786.13
Panama,1778.12
Bulgaria,1685.86
Russia,1635.39
Albania,1552.09
South Korea,1331.6
India,1316.48
Colombia,1279.58
Australia,1207.13
Antigua and Barbuda,1165.89
Saint Lucia,1074.97
Cuba,1070.38
El Salvador,1058.54
Japan,1013.54
Peru,1010.79
Dominica,1010.46
Kazakhstan,1010.41
Oceania,979.49
New Zealand,960.19
Singapore,856.76
Lebanon,847.23
Malaysia,846.37
Suriname,830
Wallis and Futuna,829.89
Sweden,826.48
Anguilla,826.37
Lower middle income,806.39
Monaco,805.3
Netherlands,784
Indonesia,744.72
Saint Kitts and Nevis,743.65
Bolivia,718.85
North Macedonia,717.5
Sri Lanka,703.33
Ecuador,694.89
Jordan,681.35
Andorra,659.36
Trinidad and Tobago,607.6
Moldova,581.35
Sint Maarten (Dutch part),577.54
Tunisia,557.59
Belize,551.24
Laos,511.04
Zimbabwe,461.11
French Polynesia,446.56
Northern Cyprus,441.86
Palestine,435.15
Guyana,424.15
Montserrat,417.41
Falkland Islands,406.64
Cook Islands,404.06
Thailand,402.31
Nepal,400.61
Costa Rica,400.03
Saint Helena,399.17
Turks and Caicos Islands,398.73
New Caledonia,385.84
Bangladesh,383.01
Paraguay,372.12
Brunei,365.17
Saint Vincent and the Grenadines,335.49
Grenada,324.15
British Virgin Islands,306.06
Nauru,299.95
Georgia,269.02
Kuwait,264.67
Philippines,261.12
Equatorial Guinea,253.44
Ukraine,224.42
Africa,211.98
Guatemala,207.14
Pitcairn,200
Mauritius,196.9
Namibia,185.55
Fiji,172.62
Taiwan,146.55
Samoa,140.83
South Africa,135.35
Oman,134.93
Bahamas,133.01
Senegal,132.46
Cote d'Ivoire,120.45
Tonga,112.52
Malawi,111.44
Pakistan,94.97
Guinea,94.42
Ethiopia,93.77
Kenya,90.45
Cape Verde,86.57
Sao Tome and Principe,83.49
Tuvalu,81.17
Botswana,78.11
Vietnam,75.26
Uganda,69
Honduras,66.92
Timor,64.35
Rwanda,62.67
Low income,56.28
Uzbekistan,53.37
Jamaica,48.89
Belarus,47.8
Comoros,47.02
Egypt,46.91
Iran,42.66
Nigeria,41.94
Angola,40.6
Bosnia and Herzegovina,38.51
Kosovo,36.97
Ghana,33.94
Eswatini,33.47
Libya,30.57
Bonaire Sint Eustatius and Saba,28.19
Afghanistan,22.83
Myanmar,22.3
Zambia,20.09
Somalia,18.1
Togo,16.46
Gabon,14.76
Venezuela,14.76
Liberia,14.7
Mauritania,13.64
Iraq,12.69
Solomon Islands,12.57
Gambia,11.82
Sierra Leone,11.73
Armenia,11.19
Congo,11.09
Sudan,10.45
Tajikistan,9.06
Djibouti,8.74
Nicaragua,8.01
Kyrgyzstan,6.71
Mozambique,6.65
Mali,6.5
Algeria,5.87
Central African Republic,5.69
Vanuatu,4.47
Yemen,4.34
Lesotho,4.18
Madagascar,4.09
Niger,4.06
Cameroon,3.46
Papua New Guinea,2.42
Guinea-Bissau,2.41
South Sudan,1.66
Syria,1.18
Benin,0.8
Turkmenistan,0.7
Democratic Republic of Congo,0.4
Burkina Faso,0.25
Chad,0.14
