pais,dato
Afghanistan,22.83
Africa,211.98
Albania,1552.09
Algeria,5.87
Andorra,659.36
Angola,40.6
Anguilla,826.37
Antigua and Barbuda,1165.89
Argentina,2442.83
Armenia,11.19
Aruba,6368.1
Asia,1922.92
Australia,1207.13
Austria,5105.88
Azerbaijan,1786.13
Bahamas,133.01
Bahrain,9043.54
Bangladesh,383.01
Barbados,4025.97
Belarus,47.8
Belgium,5107.59
Belize,551.24
Benin,0.8
Bermuda,1868.27
Bhutan,3633.04
Bolivia,718.85
Bonaire Sint Eustatius and Saba,28.19
Bosnia and Herzegovina,38.51
Botswana,78.11
Brazil,2229.62
British Virgin Islands,306.06
Brunei,365.17
Bulgaria,1685.86
Burkina Faso,0.25
Cambodia,1982.42
Cameroon,3.46
Canada,5207.91
Cape Verde,86.57
Cayman Islands,4328.67
Central African Republic,5.69
Chad,0.14
Chile,9351.17
China,3476.13
Colombia,1279.58
Comoros,47.02
Congo,11.09
Cook Islands,404.06
Costa Rica,400.03
Cote d'Ivoire,120.45
Croatia,2809.73
Cuba,1070.38
Curacao,6313.29
Cyprus,2406.61
Czechia,4407.22
Democratic Republic of Congo,0.4
Denmark,2703.99
Djibouti,8.74
Dominica,1010.46
Dominican Republic,2817.96
Ecuador,694.89
Egypt,46.91
El Salvador,1058.54
England,9849.78
Equatorial Guinea,253.44
Estonia,4833.09
Eswatini,33.47
Ethiopia,93.77
Europe,4341.13
European Union,4874.5
Faeroe Islands,2951.14
Falkland Islands,406.64
Fiji,172.62
Finland,3716.42
France,4674.52
French Polynesia,446.56
Gabon,14.76
Gambia,11.82
Georgia,269.02
Germany,5089.91
Ghana,33.94
Gibraltar,13812.2
Greece,4300.6
Greenland,2060.07
Grenada,324.15
Guatemala,207.14
Guernsey,3276.38
Guinea,94.42
Guinea-Bissau,2.41
Guyana,424.15
High income,5582.73
Honduras,66.92
Hong Kong,2562.61
Hungary,4778.17
Iceland,3124.42
India,1316.48
Indonesia,744.72
Iran,42.66
Iraq,12.69
Ireland,1873.28
Isle of Man,6802.9
Israel,17681.69
Italy,4991.23
Jamaica,48.89
Japan,1013.54
Jersey,2068.63
Jordan,681.35
Kazakhstan,1010.41
Kenya,90.45
Kosovo,36.97
Kuwait,264.67
Kyrgyzstan,6.71
Laos,511.04
Latvia,3270.98
Lebanon,847.23
Lesotho,4.18
Liberia,14.7
Libya,30.57
Liechtenstein,4506.41
Lithuania,5281.81
Low income,56.28
Lower middle income,806.39
Luxembourg,2930.9
Macao,2392.1
Madagascar,4.09
Malawi,111.44
Malaysia,846.37
Maldives,7979.51
Mali,6.5
Malta,10264.91
Mauritania,13.64
Mauritius,196.9
Mexico,1816.2
Moldova,581.35
Monaco,805.3
Mongolia,5093.25
Montenegro,2018.94
Montserrat,417.41
Morocco,2788.42
Mozambique,6.65
Myanmar,22.3
Namibia,185.55
Nauru,299.95
Nepal,400.61
Netherlands,784
New Caledonia,385.84
New Zealand,960.19
Nicaragua,8.01
Niger,4.06
Nigeria,41.94
North America,5908.86
North Macedonia,717.5
Northern Cyprus,441.86
Northern Ireland,9156.74
Norway,4572.71
Oceania,979.49
Oman,134.93
Pakistan,94.97
Palestine,435.15
Panama,1778.12
Papua New Guinea,2.42
Paraguay,372.12
Peru,1010.79
Philippines,261.12
Pitcairn,200
Poland,4017.23
Portugal,4903.29
Qatar,6754.99
Romania,3530.21
Russia,1635.39
Rwanda,62.67
Saint Helena,399.17
Saint Kitts and Nevis,743.65
Saint Lucia,1074.97
Saint Vincent and the Grenadines,335.49
Samoa,140.83
San Marino,4849.73
Sao Tome and Principe,83.49
Saudi Arabia,3313.34
Scotland,9956.34
Senegal,132.46
Serbia,3597.1
Seychelles,4756.35
Sierra Leone,11.73
Singapore,856.76
Sint Maarten (Dutch part),577.54
Slovakia,4272.14
Slovenia,4647.27
Solomon Islands,12.57
Somalia,18.1
South Africa,135.35
South America,2420.32
South Korea,1331.6
South Sudan,1.66
Spain,3657.33
Sri Lanka,703.33
Sudan,10.45
Suriname,830
Sweden,826.48
Switzerland,4664.41
Syria,1.18
Taiwan,146.55
Tajikistan,9.06
Thailand,402.31
Timor,64.35
Togo,16.46
Tonga,112.52
Trinidad and Tobago,607.6
Tunisia,557.59
Turkey,3686.71
Turkmenistan,0.7
Turks and Caicos Islands,398.73
Tuvalu,81.17
Uganda,69
Ukraine,224.42
United Arab Emirates,13807.53
United Kingdom,9788.82
United States,8686.81
Upper middle income,2804.21
Uruguay,6486.36
Uzbekistan,53.37
Vanuatu,4.47
Venezuela,14.76
Vietnam,75.26
Wales,10767.93
Wallis and Futuna,829.89
World,2186.11
Yemen,4.34
Zambia,20.09
Zimbabwe,461.11
